site,depth_native_cm,depth_composite_cm,dated,age_ka,age_2s_lo_ka,age_2s_hi_ka,artemisia_juniper_pct,poaceae_pct,pinus_pct,juniperus_type_pct,quercus_pct,artemisia_pct,ambrosia_pct,asteraceae_high_pct,amaranthaceae_pct,byrne_clam_age_ka
DSDP-480,30,30,True,1.604750204,1.395951209,1.965249603,1.98019802,8.663366337,12.37623762,0.7425742574,11.13861386,1.237623762,22.77227723,4.95049505,20.2970297,1.341
DSDP-480,60,60,True,1.900816638,1.535877282,2.366675748,4.829545455,10.79545455,4.829545455,3.125,2.840909091,1.704545455,20.73863636,3.409090909,29.54545455,1.651
DSDP-480,100,100,True,2.283173948,1.862665344,2.757948686,2.083333333,10.67708333,5.989583333,0.5208333333,10.9375,1.5625,19.01041667,3.90625,28.125,2.062
DSDP-480,140,140,True,2.661398611,2.236193396,3.101234317,2.590673575,9.32642487,9.067357513,1.03626943,8.031088083,1.554404145,19.68911917,5.440414508,24.61139896,2.466
DSDP-480,160,160,True,2.850510943,2.422957421,3.272877133,2.450980392,9.31372549,10.29411765,1.470588235,12.74509804,0.9803921569,23.52941176,2.941176471,21.56862745,2.666
DSDP-480,190,190,True,3.124475595,2.679547435,3.560663224,2.486678508,11.90053286,8.525754885,1.776198934,3.907637655,0.7104795737,18.11722913,4.618117229,32.3268206,2.961
DSDP-480,280,280,True,3.908300616,3.356905377,4.542976517,3.448275862,8.777429467,9.404388715,2.821316614,10.34482759,0.6269592476,9.717868339,2.507836991,37.61755486,3.816
DSDP-480,370,370,True,4.702429389,4.093277812,5.314740167,0.9950248756,12.93532338,33.33333333,0,7.462686567,0.9950248756,5.472636816,3.482587065,23.38308458,4.636
DSDP-480,510,510,True,5.938683642,5.244146062,6.495995421,2.580645161,13.5483871,10.32258065,1.935483871,9.032258065,0.6451612903,15.48387097,3.225806452,25.16129032,5.873
DSDP-480,550,550,True,6.291174812,5.63821517,6.832492962,3.472222222,12.15277778,28.47222222,2.083333333,5.208333333,1.388888889,8.680555556,2.083333333,25.34722222,6.225
DSDP-480,590,590,True,6.643317229,6.063700755,7.168507115,3.314917127,14.64088398,8.563535912,1.933701657,10.77348066,1.38121547,14.91712707,3.867403315,26.24309392,6.58
DSDP-480,620,620,True,6.907424042,6.382814944,7.42051773,2.173913043,11.30434783,27.82608696,0.8695652174,8.695652174,1.304347826,7.826086957,2.173913043,16.95652174,6.849
DSDP-480,660,660,True,7.260758944,6.784843788,7.7490129,1.913875598,16.74641148,10.52631579,0.956937799,8.133971292,0.956937799,17.70334928,0.956937799,25.35885167,7.213
DSDP-480,700,700,True,7.614391968,7.181008449,8.075628325,3.914590747,14.94661922,3.202846975,2.846975089,8.185053381,1.067615658,18.86120996,4.270462633,19.57295374,7.585
DSDP-480,730,730,True,7.879616736,7.478131944,8.320589893,3.439153439,11.37566138,18.51851852,1.851851852,5.555555556,1.587301587,16.66666667,4.232804233,22.48677249,7.87
